timestamp,symbol,best_level_ofi,sequence,multi_level_ofi,integrated_ofi
2024-10-21 13:00:07.149370167+00:00,AAPL,0,15245038,133.33333333333331,41.05372171157483
2024-10-21 13:00:07.381906885+00:00,AAPL,0,15245418,482.1817460317461,262.82332462048316
2024-10-21 13:00:08.520115733+00:00,AAPL,0,15247169,133.33333333333331,41.05372171157483
2024-10-21 13:00:12.307331848+00:00,AAPL,0,15253520,-482.1817460317461,-262.82332462048316
2024-10-21 13:00:12.307344629+00:00,AAPL,0,15253521,133.33333333333331,41.05372171157483
2024-10-21 13:00:21.846946300+00:00,AAPL,0,15266703,33.33333333333333,10.263430427893708
2024-10-21 13:00:22.047186467+00:00,AAPL,-2,15266818,-279.36230158730154,-155.4674066343716
2024-10-21 13:00:22.047193836+00:00,AAPL,2,15266819,279.36230158730154,155.4674066343716
2024-10-21 13:00:22.047247171+00:00,AAPL,0,15266820,180.13015873015874,122.97347726870498
2024-10-21 13:00:22.047528913+00:00,AAPL,0,15266821,-0.3333333333333333,-0.10263430427893708
2024-10-21 13:00:22.049440630+00:00,AAPL,0,15266825,0.6666666666666666,0.20526860855787415
2024-10-21 13:00:22.051622729+00:00,AAPL,0,15266832,-179.13015873015874,-122.85190197916224
